reclat,reclong,mass
55.46667,13.78333,2
27.33333,35.66667,8
10,-84.1,6
59.85,17.66667,2
33.6,130.43333,8
55.9,-4.23333,2
34.45,132.38333,8
1.345,31.47278,2
64.43333,21.2,8
34.9,-110.18333,6
9.06667,38.41667,8
41.8,-91.86667,6
21.3,-157.86667,6
35.66667,115.5,8
39.35,-100.45,6
46.1,16.33333,2
26.46469,106.63241,8
50.3,8.91667,2
61.18333,22.68333,8
52.28333,7.7,2
-20,-45,2
38,35,8
58.2,82.93333,8
-32.1,28.33333,7
-23.2,-51.83333,4
-6.03333,145.36667,3
39.75,46.66667,8
39.08333,-94.4,6
41,112,8
53.415,-111.3375,6
-25.5,-54.5,4
-8.93333,33.8,2
-31.18333,-57.95,4
-3.4,-44.33333,2
26.59083,-12.95217,2
-8.41667,32.43333,2
-32.5,21.9,7
26.75,68.41667,8
31,75,8
18.75,75.33333,8
39.7,105.8,8
43.83333,20.44167,2
46.42137,14.05217,2
31.3,72.38333,8
31.91667,104.91667,8
30.80833,109.5,8
44.05,126.16667,8
22.68,70.31333,8
55.7,24.4,8
40.35,-104.9,6
-11.85,15.83333,2
45.43333,-0.45,2
35.5,115.41667,8
12.85,76.8,8
-7.71667,111.2,8
35.2,118.8,8
38.74028,-7.27,2
44.71667,4.3,2
47.35,21.3,2
11.85,8.21667,2
27.08333,78.33333,8
27.25,79.96667,8
49.86667,30.83333,8
15,48.3,8
55.43333,53.25,8
12.38333,78.51667,8
45.13333,21.66667,2
-6.83333,29.5,2
17.83333,73.98333,8
26.03333,81.46667,8
36.04167,139.95667,8
14.18333,75.8,8
31.6,65.78333,8
-7,115.5,8
32.08333,76.3,8
4.7,33.63333,8
20.33916,73.22329,8
42.45,73.36667,8
47.21667,81.01667,8
-3.5,35.58333,8
12.9,7.15,2
27.8,67.16667,8
31.58333,71.6,8
-35.08333,139.91667,3
35.36667,136.76667,8
29.58333,77.58333,8
11.33333,10.08333,2
25.14333,75.81333,8
39.26333,31.78,8
-7.75,112.01667,8
36.54194,29.41822,8
